"Rk","GA","GD","Pts","Pts/G","xG","xGA","xGD","xGD/90","Last 5","Attendance","Squad","Top Team Scorer","Goalkeeper","Country","LgRk","MP","W","D","L","GF"
"28","46","14","61","1.65","50.5","41.2","9.3","0.25","W D D W W","28460","Lens","Arnaud Kalimuendo - 12","Jean-Louis Leca","FRA","7","37","17","10","10","60"
"29","47","9","59","1.64","55.4","42.4","12.9","0.36","W L L L W","19801","Fiorentina","Du�an Vlahovi? - 17","Pietro Terracciano","ITA","7","36","18","5","13","56"
"30","43","13","60","1.62","61.1","37.8","23.3","0.63","D L D L D","40745","Roma","Tammy Abraham - 15","Rui Patr�cio","ITA","6","37","17","9","11","56"
"31","46","12","55","1.62","49.9","45.1","4.8","0.14","W D W L L","18741","Freiburg","Vincenzo Grifo - 9","Mark Flekken","GER","6","34","15","10","9","58"
"32","47","18","59","1.59","62.4","44.8","17.6","0.48","W D D W L","10047","Atalanta","Mario Pa�ali? - 13","Juan Musso","ITA","8","37","16","11","10","65"
"33","50","14","58","1.57","68.3","52.4","15.9","0.43","L W W L W","31103","Lyon","Moussa Demb�l� - 20","Anthony Lopes","FRA","8","37","16","11","10","64"
"34","56","1","58","1.57","53.9","54.3","-0.4","-0.01","L L D W L","73150","Manchester Utd","Cristiano Ronaldo - 18","David de Gea","ENG","6","37","16","10","11","57"
"35","49","3","52","1.53","50.9","51.9","-1.1","-0.03","W W W L L","31965","K�ln","Anthony Modeste - 20","Marvin Schw�be","GER","7","34","14","10","10","52"
"36","37","24","56","1.51","61.8","45.9","16","0.43","W L D W L","14293","Villarreal","Arnaut Groeneveld - 10","Ger�nimo Rulli","ESP","7","37","15","11","11","61"
"37","48","11","56","1.51","49.8","49.4","0.4","0.01","D L L W D","58370","West Ham","Jarrod Bowen - 12","?ukasz Fabia?ski","ENG","7","37","16","8","13","59"
"38","35","8","55","1.49","49.3","36.9","12.4","0.33","W W D L W","32949","Athletic Club","I�aki Williams - 8","Unai Sim�n","ESP","8","37","14","13","10","43"
"39","47","7","54","1.46","41.7","53.8","-12.1","-0.33","L W D W L","20368","Nantes","Randal Kolo Muani - 12","Alban Lafont","FRA","9","37","15","9","13","54"
"40","46","0","54","1.46","50.9","39.3","11.6","0.31","L W L L W","34025","Lille","Jonathan David - 15","Ivo Grbi?","FRA","10","37","14","12","11","46"
"41","56","6","52","1.41","50.2","46.5","3.7","0.1","W D W L L","12343","Hellas Verona","Giovanni Simeone - 16","Lorenzo Montip�","ITA","9","37","14","10","13","62"
"42","40","-3","51","1.38","34.8","57","-22.2","-0.6","L L D L D","30777","Wolves","Ra�l Jim�nez - 6","Jos� S�","ENG","8","37","15","6","16","37"
"43","38","8","50","1.35","48","37.3","10.7","0.29","W D W L W","9160","Torino","Andrea Belotti - 8","Vanja Milinkovi?-Savi?","ITA","10","37","13","11","13","46"
"44","45","5","46","1.35","51","46","5","0.15","D L W W D","17978","Mainz 05","Jonathan Burkardt - 11","Robin Zentner","GER","8","34","13","7","14","50"
"45","63","1","50","1.35","55.6","63.9","-8.3","-0.22","L L L D W","7638","Sassuolo","Gianluca Scamacca - 16","Andrea Consigli","ITA","11","37","13","11","13","64"
"46","60","-2","46","1.35","55.1","52.5","2.5","0.07","D D L L L","11227","Hoffenheim","Georginio Rutter - 8","Oliver Baumann","GER","9","34","13","7","14","58"
"47","57","0","48","1.33","48.5","58.2","-9.7","-0.27","D L L W W","32521","Leicester City","Jamie Vardy - 14","Kasper Schmeichel","ENG","9","36","13","9","14","57"
"48","61","-7","45","1.32","57.7","54.7","3","0.09","L D W D W","26539","M'Gladbach","Jonas Hofmann - 12","Yann Sommer","GER","10","34","12","9","13","54"
